mort2yr0,mort2yr1,woundRecur0,woundRecur1,C_L,Delta
0.4,0.45,0.3,0.3,0.15,-20.453265557712825
0.15,0.15,0.35,0.3,0.15,4.583067946489734
0.2,0.15,0.35,0.3,0.15,24.584119446840816
0.25,0.15,0.35,0.3,0.15,41.67497605662652
0.30000000000000004,0.15,0.35,0.3,0.15,56.947385567446815
0.35,0.15,0.35,0.3,0.15,76.8157869737131
0.4,0.15,0.35,0.3,0.15,93.47254169086347
0.45,0.15,0.35,0.3,0.15,113.32007509331328
0.15,0.2,0.35,0.3,0.15,-10.490079068249486
0.2,0.2,0.35,0.3,0.15,9.228076872064662
0.25,0.2,0.35,0.3,0.15,21.61450080128799
0.30000000000000004,0.2,0.35,0.3,0.15,44.6944636893013
0.35,0.2,0.35,0.3,0.15,58.593374985887635
0.4,0.2,0.35,0.3,0.15,77.52857738446261
0.45,0.2,0.35,0.3,0.15,102.14367791863998
0.15,0.25,0.35,0.3,0.15,-28.715797700020516
0.2,0.25,0.35,0.3,0.15,-11.624303067173003
0.25,0.25,0.35,0.3,0.15,3.2362915259018905
0.30000000000000004,0.25,0.35,0.3,0.15,24.91453156163982
0.35,0.25,0.35,0.3,0.15,40.285106001092004
0.4,0.25,0.35,0.3,0.15,62.219602463005344
0.45,0.25,0.35,0.3,0.15,84.43560940285795
0.15,0.30000000000000004,0.35,0.3,0.15,-48.43680490666708
0.2,0.30000000000000004,0.35,0.3,0.15,-30.640730354676293
0.25,0.30000000000000004,0.35,0.3,0.15,-11.129023012375512
0.30000000000000004,0.30000000000000004,0.35,0.3,0.15,5.597755410883167
0.35,0.30000000000000004,0.35,0.3,0.15,25.455105536837834
0.4,0.30000000000000004,0.35,0.3,0.15,45.23790736463576
0.45,0.30000000000000004,0.35,0.3,0.15,62.08008887366293
0.15,0.35,0.35,0.3,0.15,-66.88781199121644
0.2,0.35,0.35,0.3,0.15,-49.37547694856289
0.25,0.35,0.35,0.3,0.15,-32.72937518297181
0.30000000000000004,0.35,0.35,0.3,0.15,-14.504072768178105
0.35,0.35,0.35,0.3,0.15,6.606303889892956
0.4,0.35,0.35,0.3,0.15,26.339566476086816
0.45,0.35,0.35,0.3,0.15,43.51179902375492
0.15,0.4,0.35,0.3,0.15,-87.27186425226762
